T,E/T^4,P/T^4,s/T^3,MuB,TraceA,MuB/T,nB/T^3
0.174,8.792,1.46,9.389,0.348,4.412,2,0.4314
0.175,8.898,1.485,9.511,0.35,4.443,2,0.4358
0.176,9.002,1.51,9.631,0.352,4.472,2,0.44
0.177,9.103,1.534,9.749,0.354,4.501,2,0.4442
0.178,9.202,1.559,9.865,0.356,4.525,2,0.4483
0.179,9.299,1.584,9.978,0.358,4.547,2,0.4523
0.18,9.392,1.608,10.09,0.36,4.568,2,0.4562
0.181,9.483,1.632,10.19,0.362,4.587,2,0.4601
0.182,9.57,1.656,10.3,0.364,4.602,2,0.4638
0.183,9.655,1.679,10.4,0.366,4.618,2,0.4674
0.184,9.737,1.704,10.5,0.368,4.625,2,0.471
0.185,9.816,1.728,10.6,0.37,4.632,2,0.4745
0.186,9.893,1.754,10.69,0.372,4.631,2,0.4779
0.187,9.967,1.78,10.78,0.374,4.627,2,0.4813
0.188,10.04,1.806,10.88,0.376,4.622,2,0.4845
0.189,10.11,1.831,10.97,0.378,4.617,2,0.4878
0.19,10.18,1.857,11.06,0.38,4.609,2,0.4909
0.191,10.25,1.881,11.14,0.382,4.607,2,0.494
0.192,10.32,1.905,11.23,0.384,4.605,2,0.497
0.193,10.38,1.929,11.31,0.386,4.593,2,0.4999
0.194,10.44,1.951,11.39,0.388,4.587,2,0.5028
0.195,10.5,1.973,11.47,0.39,4.581,2,0.5057
0.196,10.56,1.994,11.54,0.392,4.578,2,0.5085
0.197,10.61,2.015,11.6,0.394,4.565,2,0.5112
0.198,10.66,2.035,11.67,0.396,4.555,2,0.5139
0.199,10.71,2.056,11.74,0.398,4.542,2,0.5165
0.2,10.77,2.078,11.81,0.4,4.536,2,0.5191
0.201,10.82,2.1,11.88,0.402,4.52,2,0.5217
0.202,10.88,2.123,11.95,0.404,4.511,2,0.5242
0.203,10.94,2.146,12.03,0.406,4.502,2,0.5266
0.204,11,2.169,12.11,0.408,4.493,2,0.529
0.205,11.06,2.191,12.19,0.41,4.487,2,0.5314
0.206,11.13,2.212,12.27,0.412,4.494,2,0.5337
0.207,11.19,2.233,12.35,0.414,4.491,2,0.536
0.208,11.25,2.253,12.43,0.416,4.491,2,0.5383
0.209,11.31,2.273,12.5,0.418,4.491,2,0.5405
0.21,11.37,2.293,12.58,0.42,4.491,2,0.5426
0.211,11.42,2.312,12.64,0.422,4.484,2,0.5447
0.212,11.47,2.332,12.71,0.424,4.474,2,0.5468
0.213,11.51,2.353,12.77,0.426,4.451,2,0.5488
0.214,11.55,2.373,12.82,0.428,4.431,2,0.5508
0.215,11.58,2.393,12.86,0.43,4.401,2,0.5527
0.216,11.6,2.414,12.9,0.432,4.358,2,0.5545
0.217,11.62,2.434,12.94,0.434,4.318,2,0.5564
0.218,11.63,2.454,12.97,0.436,4.268,2,0.5581
0.219,11.65,2.474,13.01,0.438,4.228,2,0.5599
0.22,11.68,2.493,13.05,0.44,4.201,2,0.5616
0.221,11.71,2.511,13.1,0.442,4.177,2,0.5632
0.222,11.75,2.528,13.15,0.444,4.166,2,0.5648
0.223,11.79,2.546,13.21,0.446,4.152,2,0.5663
0.224,11.84,2.563,13.27,0.448,4.151,2,0.5678
0.225,11.89,2.581,13.33,0.45,4.147,2,0.5692
0.226,11.94,2.6,13.39,0.452,4.14,2,0.5706
0.227,11.98,2.62,13.46,0.454,4.12,2,0.572
0.228,12.02,2.64,13.51,0.456,4.1,2,0.5733
0.229,12.06,2.659,13.57,0.458,4.083,2,0.5745
0.23,12.08,2.679,13.61,0.46,4.043,2,0.5757
0.231,12.11,2.698,13.65,0.462,4.016,2,0.5769
0.232,12.12,2.716,13.68,0.464,3.972,2,0.5781
0.233,12.14,2.733,13.71,0.466,3.941,2,0.5792
0.234,12.16,2.749,13.75,0.468,3.913,2,0.5803
0.235,12.19,2.765,13.79,0.47,3.895,2,0.5814
0.236,12.22,2.781,13.84,0.472,3.877,2,0.5824
0.237,12.27,2.795,13.9,0.474,3.885,2,0.5834
0.238,12.31,2.81,13.95,0.476,3.88,2,0.5844
0.239,12.36,2.825,14.01,0.478,3.885,2,0.5853
0.24,12.4,2.841,14.06,0.48,3.877,2,0.5862
0.125,3.094,0.4486,3.265,0.3125,1.7482,2.5,0.1113
0.126,3.239,0.463,3.404,0.315,1.85,2.5,0.119
0.127,3.394,0.4781,3.554,0.3175,1.9597,2.5,0.1275
0.128,3.561,0.4938,3.713,0.32,2.0796,2.5,0.1368
0.129,3.739,0.5103,3.882,0.3225,2.2081,2.5,0.147
0.13,3.927,0.5277,4.06,0.325,2.3439,2.5,0.1579
0.131,4.122,0.5461,4.244,0.3275,2.4837,2.5,0.1695
0.132,4.324,0.5654,4.435,0.33,2.6278,2.5,0.1817
0.133,4.531,0.5856,4.63,0.3325,2.7742,2.5,0.1946
0.134,4.744,0.6068,4.831,0.335,2.9236,2.5,0.2079
0.135,4.96,0.629,5.035,0.3375,3.073,2.5,0.2216
0.136,5.178,0.652,5.241,0.34,3.222,2.5,0.2356
0.137,5.396,0.6758,5.447,0.3425,3.3686,2.5,0.2498
0.138,5.611,0.7005,5.651,0.345,3.5095,2.5,0.264
0.139,5.819,0.7261,5.849,0.3475,3.6407,2.5,0.2781
0.14,6.017,0.7524,6.04,0.35,3.7598,2.5,0.292
0.141,6.204,0.7794,6.22,0.3525,3.8658,2.5,0.3056
0.142,6.38,0.807,6.389,0.355,3.959,2.5,0.3189
0.143,6.544,0.8351,6.55,0.3575,4.0387,2.5,0.3317
0.144,6.699,0.8633,6.702,0.36,4.1091,2.5,0.344
0.145,6.846,0.8917,6.847,0.3625,4.1709,2.5,0.3559
0.146,6.986,0.92,6.987,0.365,4.226,2.5,0.3673
0.147,7.119,0.9483,7.122,0.3675,4.2741,2.5,0.3782
0.148,7.245,0.9767,7.25,0.37,4.3149,2.5,0.3888
0.149,7.364,1.005,7.372,0.3725,4.349,2.5,0.3989
0.15,7.475,1.034,7.487,0.375,4.373,2.5,0.4087
0.151,7.579,1.063,7.596,0.3775,4.39,2.5,0.4182
0.152,7.677,1.092,7.7,0.38,4.401,2.5,0.4274
0.153,7.769,1.121,7.8,0.3825,4.406,2.5,0.4363
0.154,7.859,1.15,7.897,0.385,4.409,2.5,0.445
0.155,7.948,1.18,7.994,0.3875,4.408,2.5,0.4534
0.156,8.036,1.209,8.091,0.39,4.409,2.5,0.4615
0.157,8.125,1.238,8.189,0.3925,4.411,2.5,0.4695
0.158,8.214,1.267,8.288,0.395,4.413,2.5,0.4772
0.159,8.306,1.295,8.39,0.3975,4.421,2.5,0.4846
0.16,8.399,1.324,8.493,0.4,4.427,2.5,0.4919
0.161,8.494,1.352,8.598,0.4025,4.438,2.5,0.499
0.162,8.592,1.379,8.707,0.405,4.455,2.5,0.5058
0.163,8.693,1.407,8.819,0.4075,4.472,2.5,0.5125
0.164,8.799,1.434,8.936,0.41,4.497,2.5,0.5189
0.165,8.909,1.462,9.058,0.4125,4.523,2.5,0.5252
0.166,9.025,1.489,9.186,0.415,4.558,2.5,0.5313
0.167,9.144,1.517,9.318,0.4175,4.593,2.5,0.5373
0.168,9.266,1.545,9.453,0.42,4.631,2.5,0.5431
0.169,9.387,1.573,9.588,0.4225,4.668,2.5,0.5488
0.17,9.507,1.6,9.722,0.425,4.707,2.5,0.5543
0.171,9.624,1.628,9.853,0.4275,4.74,2.5,0.5597
0.172,9.738,1.656,9.982,0.43,4.77,2.5,0.565
0.173,9.849,1.683,10.11,0.4325,4.8,2.5,0.5701
0.174,9.957,1.711,10.23,0.435,4.824,2.5,0.5751
0.175,10.06,1.738,10.35,0.4375,4.846,2.5,0.58
0.176,10.17,1.765,10.47,0.44,4.875,2.5,0.5848
0.177,10.27,1.792,10.59,0.4425,4.894,2.5,0.5894
0.178,10.37,1.819,10.7,0.445,4.913,2.5,0.594
0.179,10.46,1.846,10.81,0.4475,4.922,2.5,0.5984
0.18,10.56,1.872,10.92,0.45,4.944,2.5,0.6028
0.181,10.65,1.898,11.03,0.4525,4.956,2.5,0.6071
0.182,10.73,1.924,11.13,0.455,4.958,2.5,0.6113
0.183,10.82,1.95,11.23,0.4575,4.97,2.5,0.6154
0.184,10.9,1.976,11.33,0.46,4.972,2.5,0.6194
0.185,10.98,2.002,11.42,0.4625,4.974,2.5,0.6233
0.186,11.06,2.03,11.52,0.465,4.97,2.5,0.6272
0.187,11.13,2.057,11.61,0.4675,4.959,2.5,0.631
0.188,11.2,2.085,11.7,0.47,4.945,2.5,0.6347
0.189,11.28,2.112,11.79,0.4725,4.944,2.5,0.6383
0.19,11.35,2.139,11.88,0.475,4.933,2.5,0.6419
0.191,11.41,2.166,11.97,0.4775,4.912,2.5,0.6454
0.192,11.48,2.191,12.05,0.48,4.907,2.5,0.6489
0.193,11.55,2.216,12.13,0.4825,4.902,2.5,0.6523
0.194,11.61,2.24,12.21,0.485,4.89,2.5,0.6556
0.195,11.67,2.264,12.29,0.4875,4.878,2.5,0.6589
0.196,11.73,2.286,12.36,0.49,4.872,2.5,0.6622
0.197,11.78,2.308,12.43,0.4925,4.856,2.5,0.6654
0.198,11.83,2.33,12.49,0.495,4.84,2.5,0.6685
0.199,11.89,2.353,12.56,0.4975,4.831,2.5,0.6716
0.2,11.94,2.376,12.63,0.5,4.812,2.5,0.6746
0.201,12,2.399,12.7,0.5025,4.803,2.5,0.6776
0.202,12.05,2.423,12.78,0.505,4.781,2.5,0.6805
0.203,12.11,2.448,12.85,0.5075,4.766,2.5,0.6833
0.204,12.18,2.472,12.93,0.51,4.764,2.5,0.6861
0.205,12.24,2.495,13.01,0.5125,4.755,2.5,0.6889
0.206,12.3,2.518,13.09,0.515,4.746,2.5,0.6916
0.207,12.37,2.54,13.17,0.5175,4.75,2.5,0.6942
0.208,12.43,2.561,13.25,0.52,4.747,2.5,0.6967
0.209,12.49,2.582,13.32,0.5225,4.744,2.5,0.6992
0.21,12.54,2.603,13.39,0.525,4.731,2.5,0.7016
0.211,12.6,2.624,13.46,0.5275,4.728,2.5,0.7039
0.212,12.64,2.645,13.52,0.53,4.705,2.5,0.7062
0.213,12.68,2.667,13.58,0.5325,4.679,2.5,0.7085
0.214,12.72,2.688,13.63,0.535,4.656,2.5,0.7106
0.215,12.74,2.709,13.67,0.5375,4.613,2.5,0.7127
0.216,12.76,2.731,13.71,0.54,4.567,2.5,0.7147
0.217,12.78,2.752,13.74,0.5425,4.524,2.5,0.7167
0.218,12.8,2.773,13.77,0.545,4.481,2.5,0.7185
0.219,12.81,2.794,13.81,0.5475,4.428,2.5,0.7204
0.22,12.84,2.814,13.84,0.55,4.398,2.5,0.7221
0.221,12.87,2.832,13.89,0.5525,4.374,2.5,0.7239
0.222,12.9,2.851,13.94,0.555,4.347,2.5,0.7256
0.223,12.94,2.869,13.99,0.5575,4.333,2.5,0.7273
0.224,12.99,2.887,14.05,0.56,4.329,2.5,0.7289
0.225,13.03,2.906,14.11,0.5625,4.312,2.5,0.7305
0.226,13.08,2.926,14.17,0.565,4.302,2.5,0.732
0.227,13.12,2.946,14.23,0.5675,4.282,2.5,0.7335
0.228,13.15,2.966,14.28,0.57,4.252,2.5,0.735
0.229,13.19,2.987,14.33,0.5725,4.229,2.5,0.7364
0.23,13.21,3.007,14.38,0.575,4.189,2.5,0.7377
0.231,13.23,3.026,14.41,0.5775,4.152,2.5,0.7391
0.232,13.25,3.045,14.44,0.58,4.115,2.5,0.7403
0.233,13.26,3.063,14.47,0.5825,4.071,2.5,0.7415
0.234,13.28,3.08,14.5,0.585,4.04,2.5,0.7427
0.235,13.3,3.096,14.54,0.5875,4.012,2.5,0.7439
0.236,13.34,3.112,14.59,0.59,4.004,2.5,0.745
0.237,13.38,3.128,14.64,0.5925,3.996,2.5,0.7461
0.238,13.42,3.143,14.7,0.595,3.991,2.5,0.7471
0.239,13.47,3.158,14.75,0.5975,3.996,2.5,0.7481
0.24,13.5,3.175,14.8,0.6,3.975,2.5,0.749
0.125,3.961,0.5206,3.933,0.375,2.3992,3,0.1829
0.126,4.183,0.5404,4.133,0.378,2.5618,3,0.1967
0.127,4.417,0.5612,4.343,0.381,2.7334,3,0.2115
0.128,4.661,0.5831,4.563,0.384,2.9117,3,0.2272
0.129,4.914,0.6063,4.789,0.387,3.0951,3,0.2436
0.13,5.171,0.6307,5.02,0.39,3.2789,3,0.2606
0.131,5.431,0.6563,5.253,0.393,3.4621,3,0.2781
0.132,5.69,0.6832,5.486,0.396,3.6404,3,0.296
0.133,5.948,0.7112,5.718,0.399,3.8144,3,0.3139
0.134,6.202,0.7403,5.947,0.402,3.9811,3,0.3319
0.135,6.451,0.7704,6.172,0.405,4.1398,3,0.3496
0.136,6.693,0.8014,6.393,0.408,4.2888,3,0.367
0.137,6.926,0.8331,6.607,0.411,4.4267,3,0.3839
0.138,7.147,0.8656,6.812,0.414,4.5502,3,0.4003
0.139,7.356,0.8987,7.007,0.417,4.6599,3,0.416
0.14,7.55,0.9324,7.19,0.42,4.7528,3,0.4311
0.141,7.73,0.9665,7.36,0.423,4.8305,3,0.4456
0.142,7.897,1.001,7.519,0.426,4.894,3,0.4595
0.143,8.051,1.036,7.668,0.429,4.943,3,0.4729
0.144,8.197,1.07,7.809,0.432,4.987,3,0.4858
0.145,8.335,1.105,7.944,0.435,5.02,3,0.4983
0.146,8.467,1.139,8.075,0.438,5.05,3,0.5103
0.147,8.594,1.173,8.201,0.441,5.075,3,0.5219
0.148,8.716,1.206,8.323,0.444,5.098,3,0.5332
0.149,8.831,1.24,8.44,0.447,5.111,3,0.5441
0.15,8.94,1.274,8.55,0.45,5.118,3,0.5546
0.151,9.042,1.308,8.655,0.453,5.118,3,0.5649
0.152,9.138,1.342,8.756,0.456,5.112,3,0.5748
0.153,9.23,1.376,8.852,0.459,5.102,3,0.5845
0.154,9.318,1.41,8.946,0.462,5.088,3,0.5938
0.155,9.404,1.443,9.039,0.465,5.075,3,0.6028
0.156,9.49,1.477,9.132,0.468,5.059,3,0.6115
0.157,9.576,1.51,9.226,0.471,5.046,3,0.62
0.158,9.663,1.543,9.321,0.474,5.034,3,0.6282
0.159,9.752,1.575,9.418,0.477,5.027,3,0.6361
0.16,9.842,1.607,9.518,0.48,5.021,3,0.6439
0.161,9.935,1.639,9.62,0.483,5.018,3,0.6514
0.162,10.03,1.67,9.725,0.486,5.02,3,0.6587
0.163,10.13,1.701,9.834,0.489,5.027,3,0.6657
0.164,10.23,1.732,9.948,0.492,5.034,3,0.6727
0.165,10.34,1.762,10.07,0.495,5.054,3,0.6794
0.166,10.46,1.793,10.19,0.498,5.081,3,0.6859
0.167,10.58,1.824,10.32,0.501,5.108,3,0.6923
0.168,10.7,1.855,10.46,0.504,5.135,3,0.6985
0.169,10.82,1.885,10.59,0.507,5.165,3,0.7045
0.17,10.94,1.916,10.72,0.51,5.192,3,0.7104
0.171,11.05,1.947,10.85,0.513,5.209,3,0.7161
0.172,11.17,1.977,10.98,0.516,5.239,3,0.7217
0.173,11.28,2.007,11.1,0.519,5.259,3,0.7272
0.174,11.38,2.037,11.22,0.522,5.269,3,0.7325
0.175,11.49,2.067,11.34,0.525,5.289,3,0.7377
0.176,11.59,2.097,11.46,0.528,5.299,3,0.7428
0.177,11.69,2.126,11.58,0.531,5.312,3,0.7478
0.178,11.79,2.155,11.69,0.534,5.325,3,0.7527
0.179,11.89,2.184,11.8,0.537,5.338,3,0.7575
0.18,11.98,2.213,11.91,0.54,5.341,3,0.7622
0.181,12.07,2.241,12.02,0.543,5.347,3,0.7668
0.182,12.16,2.269,12.12,0.546,5.353,3,0.7713
0.183,12.25,2.297,12.22,0.549,5.359,3,0.7758
0.184,12.33,2.325,12.32,0.552,5.355,3,0.7801
0.185,12.41,2.354,12.41,0.555,5.348,3,0.7844
0.186,12.49,2.383,12.51,0.558,5.341,3,0.7886
0.187,12.57,2.413,12.6,0.561,5.331,3,0.7928
0.188,12.64,2.442,12.69,0.564,5.314,3,0.7969
0.189,12.71,2.472,12.78,0.567,5.294,3,0.801
0.19,12.78,2.501,12.87,0.57,5.277,3,0.805
0.191,12.86,2.529,12.96,0.573,5.273,3,0.8088
0.192,12.93,2.556,13.04,0.576,5.262,3,0.8126
0.193,12.99,2.583,13.13,0.579,5.241,3,0.8164
0.194,13.06,2.609,13.21,0.582,5.233,3,0.82
0.195,13.12,2.634,13.28,0.585,5.218,3,0.8237
0.196,13.18,2.658,13.35,0.588,5.206,3,0.8272
0.197,13.23,2.682,13.42,0.591,5.184,3,0.8307
0.198,13.28,2.706,13.49,0.594,5.162,3,0.834
0.199,13.34,2.73,13.55,0.597,5.15,3,0.8373
0.2,13.39,2.754,13.62,0.6,5.128,3,0.8405
0.201,13.45,2.779,13.69,0.603,5.113,3,0.8436
0.202,13.5,2.805,13.77,0.606,5.085,3,0.8467
0.203,13.56,2.831,13.84,0.609,5.067,3,0.8497
0.204,13.62,2.856,13.92,0.612,5.052,3,0.8526
0.205,13.69,2.881,14,0.615,5.047,3,0.8554
0.206,13.75,2.905,14.08,0.618,5.035,3,0.8581
0.207,13.81,2.928,14.15,0.621,5.026,3,0.8607
0.208,13.87,2.951,14.23,0.624,5.017,3,0.8632
0.209,13.93,2.973,14.3,0.627,5.011,3,0.8656
0.21,13.98,2.995,14.37,0.63,4.995,3,0.8681
0.211,14.03,3.018,14.43,0.633,4.976,3,0.8705
0.212,14.07,3.04,14.49,0.636,4.95,3,0.8728
0.213,14.11,3.062,14.54,0.639,4.924,3,0.8751
0.214,14.14,3.085,14.59,0.642,4.885,3,0.8773
0.215,14.16,3.107,14.63,0.645,4.839,3,0.8795
0.216,14.18,3.13,14.66,0.648,4.79,3,0.8816
0.217,14.19,3.152,14.69,0.651,4.734,3,0.8836
0.218,14.21,3.174,14.72,0.654,4.688,3,0.8856
0.219,14.22,3.195,14.75,0.657,4.635,3,0.8875
0.22,14.24,3.216,14.79,0.66,4.592,3,0.8894
0.221,14.27,3.236,14.83,0.663,4.562,3,0.8912
0.222,14.3,3.255,14.88,0.666,4.535,3,0.8929
0.223,14.34,3.274,14.93,0.669,4.518,3,0.8946
0.224,14.38,3.293,14.99,0.672,4.501,3,0.8963
0.225,14.42,3.313,15.04,0.675,4.481,3,0.8979
0.226,14.47,3.333,15.1,0.678,4.471,3,0.8995
0.227,14.51,3.354,15.16,0.681,4.448,3,0.901
0.228,14.54,3.376,15.21,0.684,4.412,3,0.9024
0.229,14.57,3.397,15.26,0.687,4.379,3,0.9038
0.23,14.6,3.418,15.3,0.69,4.346,3,0.9052
0.231,14.61,3.438,15.33,0.693,4.296,3,0.9065
0.232,14.62,3.457,15.36,0.696,4.249,3,0.9078
0.233,14.64,3.475,15.38,0.699,4.215,3,0.909
0.234,14.65,3.493,15.41,0.702,4.171,3,0.9102
0.235,14.67,3.51,15.45,0.705,4.14,3,0.9113
0.236,14.71,3.526,15.5,0.708,4.132,3,0.9124
0.237,14.74,3.542,15.55,0.711,4.114,3,0.9135
0.238,14.79,3.558,15.6,0.714,4.116,3,0.9144
0.239,14.83,3.574,15.65,0.717,4.108,3,0.9154
0.24,14.86,3.591,15.7,0.72,4.087,3,0.9164
0.125,5.368,0.6381,4.979,0.4375,3.4537,3.5,0.2935
0.126,5.677,0.6664,5.245,0.441,3.6778,3.5,0.3138
0.127,5.991,0.6962,5.516,0.4445,3.9024,3.5,0.3347
0.128,6.307,0.7275,5.788,0.448,4.1245,3.5,0.3561
0.129,6.62,0.7603,6.059,0.4515,4.3391,3.5,0.3777
0.13,6.928,0.7945,6.325,0.455,4.5445,3.5,0.3993
0.131,7.226,0.83,6.584,0.4585,4.736,3.5,0.4206
0.132,7.512,0.8666,6.834,0.462,4.9122,3.5,0.4414
0.133,7.785,0.9044,7.074,0.4655,5.0718,3.5,0.4616
0.134,8.045,0.943,7.304,0.469,5.216,3.5,0.4811
0.135,8.293,0.9823,7.525,0.4725,5.3461,3.5,0.4999
0.136,8.528,1.022,7.738,0.476,5.462,3.5,0.518
0.137,8.752,1.063,7.941,0.4795,5.563,3.5,0.5354
0.138,8.963,1.103,8.134,0.483,5.654,3.5,0.5522
0.139,9.161,1.144,8.316,0.4865,5.729,3.5,0.5683
0.14,9.345,1.186,8.488,0.49,5.787,3.5,0.5839
0.141,9.517,1.227,8.648,0.4935,5.836,3.5,0.5989
0.142,9.676,1.269,8.798,0.497,5.869,3.5,0.6134
0.143,9.826,1.31,8.94,0.5005,5.896,3.5,0.6274
0.144,9.967,1.351,9.075,0.504,5.914,3.5,0.641
0.145,10.1,1.392,9.205,0.5075,5.924,3.5,0.6542
0.146,10.23,1.433,9.33,0.511,5.931,3.5,0.667
0.147,10.36,1.473,9.452,0.5145,5.941,3.5,0.6793
0.148,10.48,1.512,9.568,0.518,5.944,3.5,0.6913
0.149,10.59,1.552,9.68,0.5215,5.934,3.5,0.7028
0.15,10.69,1.591,9.785,0.525,5.917,3.5,0.7139
0.151,10.79,1.63,9.884,0.5285,5.9,3.5,0.7246
0.152,10.88,1.669,9.978,0.532,5.873,3.5,0.735
0.153,10.97,1.708,10.07,0.5355,5.846,3.5,0.745
0.154,11.05,1.746,10.16,0.539,5.812,3.5,0.7548
0.155,11.13,1.785,10.24,0.5425,5.775,3.5,0.7642
0.156,11.22,1.822,10.33,0.546,5.754,3.5,0.7734
0.157,11.3,1.86,10.42,0.5495,5.72,3.5,0.7823
0.158,11.38,1.897,10.51,0.553,5.689,3.5,0.7909
0.159,11.47,1.934,10.61,0.5565,5.668,3.5,0.7992
0.16,11.56,1.97,10.7,0.56,5.65,3.5,0.8073
0.161,11.65,2.005,10.8,0.5635,5.635,3.5,0.8152
0.162,11.74,2.04,10.9,0.567,5.62,3.5,0.8228
0.163,11.84,2.074,11.01,0.5705,5.618,3.5,0.8302
0.164,11.94,2.109,11.12,0.574,5.613,3.5,0.8374
0.165,12.05,2.143,11.23,0.5775,5.621,3.5,0.8444
0.166,12.16,2.177,11.36,0.581,5.629,3.5,0.8513
0.167,12.28,2.211,11.48,0.5845,5.647,3.5,0.8579
0.168,12.4,2.245,11.61,0.588,5.665,3.5,0.8644
0.169,12.51,2.279,11.75,0.5915,5.673,3.5,0.8707
0.17,12.63,2.313,11.88,0.595,5.691,3.5,0.8768
0.171,12.75,2.346,12.01,0.5985,5.712,3.5,0.8828
0.172,12.86,2.379,12.13,0.602,5.723,3.5,0.8887
0.173,12.97,2.412,12.25,0.6055,5.734,3.5,0.8944
0.174,13.08,2.445,12.37,0.609,5.745,3.5,0.9001
0.175,13.19,2.477,12.49,0.6125,5.759,3.5,0.9055
0.176,13.29,2.51,12.61,0.616,5.76,3.5,0.9109
0.177,13.39,2.542,12.73,0.6195,5.764,3.5,0.9162
0.178,13.49,2.573,12.84,0.623,5.771,3.5,0.9215
0.179,13.59,2.605,12.95,0.6265,5.775,3.5,0.9266
0.18,13.69,2.636,13.06,0.63,5.782,3.5,0.9317
0.181,13.78,2.666,13.17,0.6335,5.782,3.5,0.9366
0.182,13.87,2.697,13.27,0.637,5.779,3.5,0.9415
0.183,13.96,2.727,13.37,0.6405,5.779,3.5,0.9462
0.184,14.04,2.758,13.47,0.644,5.766,3.5,0.9509
0.185,14.12,2.788,13.57,0.6475,5.756,3.5,0.9554
0.186,14.2,2.82,13.66,0.651,5.74,3.5,0.9599
0.187,14.28,2.852,13.76,0.6545,5.724,3.5,0.9643
0.188,14.36,2.883,13.85,0.658,5.711,3.5,0.9686
0.189,14.43,2.915,13.94,0.6615,5.685,3.5,0.9728
0.19,14.51,2.946,14.03,0.665,5.672,3.5,0.9769
0.191,14.58,2.976,14.12,0.6685,5.652,3.5,0.9809
0.192,14.65,3.005,14.21,0.672,5.635,3.5,0.9848
0.193,14.71,3.034,14.29,0.6755,5.608,3.5,0.9886
0.194,14.78,3.062,14.37,0.679,5.594,3.5,0.9923
0.195,14.84,3.089,14.44,0.6825,5.573,3.5,0.9959
0.196,14.9,3.115,14.51,0.686,5.555,3.5,0.9994
0.197,14.95,3.14,14.58,0.6895,5.53,3.5,1.003
0.198,15,3.166,14.64,0.693,5.502,3.5,1.006
0.199,15.05,3.191,14.71,0.6965,5.477,3.5,1.009
0.2,15.1,3.217,14.77,0.7,5.449,3.5,1.012
0.201,15.15,3.244,14.84,0.7035,5.418,3.5,1.015
0.202,15.21,3.271,14.91,0.707,5.397,3.5,1.018
0.203,15.26,3.298,14.99,0.7105,5.366,3.5,1.021
0.204,15.32,3.325,15.06,0.714,5.345,3.5,1.024
0.205,15.38,3.352,15.13,0.7175,5.324,3.5,1.027
0.206,15.44,3.377,15.21,0.721,5.309,3.5,1.03
0.207,15.49,3.401,15.28,0.7245,5.287,3.5,1.032
0.208,15.55,3.425,15.35,0.728,5.275,3.5,1.035
0.209,15.61,3.449,15.42,0.7315,5.263,3.5,1.037
0.21,15.66,3.472,15.49,0.735,5.244,3.5,1.04
0.211,15.7,3.496,15.55,0.7385,5.212,3.5,1.042
0.212,15.74,3.519,15.61,0.742,5.183,3.5,1.044
0.213,15.78,3.542,15.66,0.7455,5.154,3.5,1.047
0.214,15.81,3.566,15.7,0.749,5.112,3.5,1.049
0.215,15.83,3.589,15.74,0.7525,5.063,3.5,1.051
0.216,15.84,3.613,15.77,0.756,5.001,3.5,1.053
0.217,15.86,3.636,15.8,0.7595,4.952,3.5,1.055
0.218,15.87,3.659,15.83,0.763,4.893,3.5,1.057
0.219,15.88,3.682,15.86,0.7665,4.834,3.5,1.059
0.22,15.9,3.703,15.89,0.77,4.791,3.5,1.06
0.221,15.92,3.724,15.93,0.7735,4.748,3.5,1.062
0.222,15.95,3.744,15.97,0.777,4.718,3.5,1.064
0.223,15.99,3.764,16.02,0.7805,4.698,3.5,1.065
0.224,16.03,3.784,16.08,0.784,4.678,3.5,1.067
0.225,16.07,3.804,16.13,0.7875,4.658,3.5,1.068
0.226,16.11,3.826,16.19,0.791,4.632,3.5,1.07
0.227,16.15,3.847,16.24,0.7945,4.609,3.5,1.071
0.228,16.18,3.869,16.29,0.798,4.573,3.5,1.073
0.229,16.21,3.891,16.34,0.8015,4.537,3.5,1.074
0.23,16.23,3.913,16.38,0.805,4.491,3.5,1.075
0.231,16.24,3.933,16.41,0.8085,4.441,3.5,1.077
0.232,16.25,3.953,16.43,0.812,4.391,3.5,1.078
0.233,16.26,3.972,16.46,0.8155,4.344,3.5,1.079
0.234,16.28,3.991,16.49,0.819,4.307,3.5,1.08
0.235,16.3,4.008,16.52,0.8225,4.276,3.5,1.081
0.236,16.33,4.025,16.56,0.826,4.255,3.5,1.082
0.237,16.36,4.041,16.61,0.8295,4.237,3.5,1.083
0.238,16.4,4.058,16.66,0.833,4.226,3.5,1.084
0.239,16.44,4.074,16.72,0.8365,4.218,3.5,1.085
0.24,16.47,4.091,16.76,0.84,4.197,3.5,1.086
