x,y
0.8481927710843373,10.017871485943775
0.9060240963855422,8.13012048192771
0.963855421686747,6.616265060240964
1.0216867469879518,5.4313253012048195
1.0795180722891566,4.528915662650602
1.1373493975903615,3.865461847389559
1.195180722891566,3.3777108433734937
1.253012048192771,3.029116465863454
1.3108433734939757,2.7648594377510043
1.3686746987951806,2.5666666666666664
1.4265060240963854,2.4134538152610445
1.4843373493975902,2.292570281124498
1.542168674698795,2.1941767068273097
1.602409638554217,2.111028730305838
1.6626506024096386,2.040963855421687
1.7204819277108434,1.983333333333334
1.7783132530120482,1.9369477911646584
1.836144578313253,1.8961847389558228
1.893975903614458,1.8596385542168674
1.9518072289156627,1.8244979919678717
2.0096385542168673,1.797791164658635
2.067469879518072,1.7767068273092377
2.125301204819277,1.7542168674698804
2.183132530120482,1.7289156626506024
2.2409638554216866,1.7204819277108427
2.2987951807228915,1.6965863453815258
2.3590361445783135,1.6867469879518069
2.419277108433735,1.6740963855421684
2.47710843373494,1.653012048192771
2.5349397590361447,1.653012048192771
2.5927710843373495,1.645983935742972
2.6506024096385543,1.6192771084337352
2.7084337349397587,1.6192771084337352
2.7662650602409635,1.6192771084337352
2.8240963855421684,1.6192771084337352
2.881927710843373,1.5939759036144583
2.939759036144578,1.5855421686746993
2.997590361445783,1.5855421686746993
3.0554216867469877,1.5855421686746993
3.1156626506024097,1.5855421686746993
